PI,region,study_area,station,lat_wgs84,long_wgs84,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,maxFRic,asymptPD,SR.mean,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
Brodie,Borneo,Luasong,T01,4.90138,117.23014,Malaysia,189,8.5328722,2.25,203.6251068,2.308831325,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,1.669224979,2013,3269537.392,594210.7628,21.31626619,2.997395833,14.91666667,25.40511883,0.127982871,3.9274459,2.965167341,0.723550287,4.904211384
Brodie,Borneo,Luasong,T02,4.90145,117.24927,Malaysia,184,7.387852669,3.9296875,186.7202606,2.271191445,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,1.539587458,2013,3271861.212,594308.773,32.07203056,2.953645833,11.8,18.8292762,0.12733425,3.371252706,2.751626151,0.693337667,4.469452434
Brodie,Borneo,Luasong,T03,4.90161,117.26726,Malaysia,173,8.092640877,-2.6640625,180.4510956,2.256359523,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,1.588641849,2013,3274046.426,594412.4394,11.70390412,1.96875,5.470588235,15.49493625,0.127077962,2.399311199,2.53951476,0.485848034,3.980482172
Brodie,Borneo,Luasong,T04,4.90133,117.28447,Malaysia,171,11.78065681,3.9296875,172.9643707,2.237956651,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,1.137094869,2013,3276139.206,594459.2192,16.42799971,3.278645833,18.76470588,11.73995814,0.126855569,1.317733891,2.134165787,0.276975852,3.430662472
Brodie,Borneo,Luasong,T05,4.91044,117.22211,Malaysia,205,6.561583519,3.7578125,2146.376465,3.331705898,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,1.88849588,2013,3268519.639,595270.474,30.37994838,3.3125,17.76470588,24.51904829,0.127327061,3.832767122,2.940138549,0.737365305,4.873417543
Brodie,Borneo,Luasong,T06,4.9106,117.24031,Malaysia,222,8.372154236,-5.1328125,223.3395844,2.348965704,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,2.393588727,2013,3270729.862,595375.1485,0,1.84375,6.236111111,24.60022882,0.1278168,3.965749232,3.009987309,0.796503417,5.011148067
Brodie,Borneo,Luasong,T07,4.9105,117.25837,Malaysia,213,11.48355293,4.203125,172.9939117,2.238030819,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,2.92539291,2013,3272924.603,595447.7584,7.733197993,2.809895833,21.55,22.47221278,0.127684156,3.217576933,2.861193192,0.679296337,4.661401804
Brodie,Borneo,Luasong,T08,4.91055,117.27596,Malaysia,182,9.593978882,4.4140625,183.4120331,2.263427825,1,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,2.240564478,2013,3275061.834,595536.4145,22.76814526,3.3984375,15.68421053,16.5897062,0.12763463,2.324439288,2.491646706,0.465683211,4.024075032
Brodie,Borneo,Luasong,T09,4.9197,117.23113,Malaysia,306,10.02370834,0.0859375,2216.366699,3.345641616,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.245059155,2013,3269572.059,596434.2952,NA,NA,NA,24.80795405,0.128327303,3.994314948,2.993216995,0.813032605,4.943133929
Brodie,Borneo,Luasong,T10,4.91962,117.24888,Malaysia,286,12.00151634,5.8515625,178.8021393,2.252372711,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.447761076,2013,3271728.844,596507.9843,11.44783233,2.39375,18.54545455,26.20499337,0.127329067,3.974579674,3.041598749,0.802585806,5.066408666
