station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L3493984,Malaysia,0.81,35,0.046875,4.511279052,0,27.47807693,0,2.481081468,6.520918532,1325278.506,601227.5339,3.845125979,223.5,200.8671709,2.906644009,0.217894622,1.550540344,0.078709328,2.604361432
L2983417,Malaysia,0.81,99,0.0390625,2.844297428,0,26.48071671,1,36.79968394,NA,3079581.342,637918.6807,5.455115496,236.9293617,301.8494499,12.61005447,1.994572295,2.390237592,0.459347661,3.789177677
L3068694,Malaysia,0.81,69,1.4609375,2.938464203,0,26.97856903,0,272.6286725,0.051053237,3393318.198,672835.2087,4.948134796,213.8722084,300.0845523,18.8621028,3.397981462,2.821688973,0.729216144,4.579276208
L3601716,Malaysia,0.81,1,0.1328125,3.350732263,0,27.19826126,0,64.50550669,21.78599136,2889356.088,526129.7668,NA,NA,NA,4.389333293,0.245059339,1.70587565,0.091042165,1.762425215
L3220838,Malaysia,0.81,177,-2.078125,3.834705631,0,26.21172905,0,286.1988198,15.72937292,1364793.058,602477.8114,4.039443434,177.8947368,454.1697203,31.27816435,4.233218117,3.134319441,0.834051742,5.471902589
L10816435,Malaysia,0.81,115,-0.484375,3.422147467,0,24.92457199,1,2646.036331,NA,1549848.681,506978.9916,6.637923456,333.9345533,364.3632091,38.15426718,4.401745843,3.231310669,0.866271886,5.831939882
L2522100,Malaysia,0.81,0,0.2890625,4.316265118,0,27.17131996,0,0.418284337,1.114502914,1417971.348,372472.3613,3.341182118,116.75,235.1615075,12.65982724,2.460891209,2.535747102,0.599303457,4.088098229
L4728750,Malaysia,0.81,71,11.703125,4.394165479,0,27.42439461,0,2.481081468,8.589336079,1323299.63,594233.0036,4.957033968,137.8263889,256.4578674,16.23401311,2.434534109,2.686727956,0.591082555,4.290413262
L3354981,Malaysia,0.81,0,-5.40625,NA,0,26.58137512,0,2.481081468,32.51660695,1298971.786,603185.7579,3.284279668,135.6988636,228.389905,9.269889299,1.685671871,2.44423476,0.442243985,3.788582635
L5720963,Malaysia,0.81,1570,-12.296875,2.271399192,0,19.63174248,0,92.07485489,8.533523875,3067107.86,531403.2663,5.129149807,148.5777778,363.2002406,31.91759542,4.878101624,3.212925431,0.898496007,5.543842598
L3085676,Malaysia,0.81,61,0.3046875,2.986371865,0,26.57273102,1,41.15764605,NA,1702890.975,282040.5965,3.205797828,138.5494505,369.3745743,31.6553381,5.19317254,3.249953627,0.893939048,5.579905553
L6523399,Malaysia,0.81,2189,10.46875,3.339819402,0,17.34393311,1,841.9909418,NA,3179928.072,725330.7987,3.128352121,83.83984375,237.7705969,24.61390354,3.433901778,2.977525288,0.752854442,4.889743705
L4180514,Malaysia,0.81,8,-0.125,4.126201252,0,26.94524765,0,86.83920821,17.65079295,1561698.56,242882.0525,3.935656277,108.6363636,219.6335906,9.223696789,1.992179681,2.295470626,0.470404094,3.808596165
L4479001,Malaysia,0.81,0,0.2109375,NA,0,26.70067596,0,11.31168556,36.68977524,1423706.771,322514.2908,3.584430437,87.66666667,202.6004248,8.235148026,1.115643789,2.223218381,0.366099221,3.433995037
L4028252,Malaysia,0.81,300,4.7734375,4.689531875,0,26.2167778,1,53.02808677,NA,1296865.689,746177.8508,5.7946255,248.5016447,353.3721276,25.48121684,4.485667609,3.105816119,0.843383566,5.169257815
