station,lat,long,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L3354988,5.4627247,100.2421117,Malaysia,104,15.27925396,-0.8046875,NA,NA,0,26.58137512,8.910245895,0.842130542,0.001232879,32.20000076,21.61940002,10.58059978,26.18710709,26.65223503,27.09846878,26.16194534,2661.999756,94.31150055,19.71139908,0.405723453,1034.623657,320.5108948,593.4995728,971.527771,152.8596344,183.0500031,126.6200027,0.118449882,131.5062256,167.4644623,173.2182312,129.7483826,1.278966308,1.753898025,0.836769998,0.194064602,1.60373354,0.943497002,1.206869125,1.55575633,0,2.481081468,28.60111488,1989,1304349.946,608672.5132,2.868266064,134.4929577,169.9003526,18.52680508,0.119937472,3.640509883,2.989421403,0.649676509,4.758075292
L2778060,3.1497019,101.7916989,Malaysia,153,12.58461475,12.171875,11059.0918,4.043719463,0,26.84200859,9.411780357,0.865769565,0.001140424,32.40000153,21.52899933,10.87100029,26.55488014,26.89943504,27.32059669,26.42721176,2428,64.86889648,30.01049995,0.24381879,773.34552,428.115387,680.1500244,667.3361206,150.3703918,178.1399994,118.4499969,0.1160772,126.7685394,151.9117737,167.3603821,136.7714691,1.241308928,1.452075005,1.066013098,0.097796947,1.389214158,1.099681854,1.288198709,1.300231814,0,20.46649963,0.643274421,1999,1480686.553,352299.1645,2.911185506,118.6350932,267.5126747,16.05434956,0.105361888,2.647652191,2.669292895,0.592652966,4.447603431
L2822716,2.7592478,101.7066193,Malaysia,30,0.635645926,0.1171875,15558.72461,4.191973994,0,27.22490883,8.444628716,0.83850944,0.000996737,32.40000153,22.32900047,10.0710001,27.03403854,27.3296032,27.66452599,26.8917923,2226,60.18980026,28.82659912,0.213017762,713.3555908,452.5210876,571.2570801,562.2219849,151.6457367,178,120,0.110306591,128.677536,156.1587677,167.5001526,141.3279266,1.219025373,1.417268991,1.055566669,0.081920095,1.356032848,1.134709477,1.222317457,1.226736546,0,4.558114066,13.16293259,1998,1471466.847,308556.371,2.113782836,105.1397849,96.6243724,10.00546933,0.076925308,1.665897878,2.313440346,0.484446523,3.770018847
L1091511,4.9622964,117.8035755,Malaysia,514,4.035905361,-1.1640625,808.0372925,2.907431405,0,24.90208054,7.639092445,0.889600933,0.000841416,29.38710022,20.79999924,8.587100029,24.66106606,24.83618164,25.19930458,24.54240799,2291.000488,54.06700134,36.6067009,0.098782502,652.3353271,524.6914063,543.5095215,619.8463745,157.5750427,181.2160034,141.7949982,0.073137216,144.4186096,171.9717712,165.643158,150.8485413,1.260579824,1.385915041,1.181568027,0.0435833,1.342160344,1.211629391,1.224916816,1.317829728,1,1281.098735,NA,2014,3339062.307,604346.7461,3.610649432,297.9191931,222.8295553,34.79329437,0.12145104,3.490495037,2.944614748,0.732878002,5.188665774
L1119754,5.9950547,116.1054254,Malaysia,28,0.606511712,-0.609375,NA,NA,0,26.69443703,7.367269039,0.830189705,0.001415264,31.27420044,22.39999962,8.874199867,26.58979988,26.40421486,27.24858093,26.12867737,2726,75.09549713,21.16539955,0.313126266,897.5714111,355.6218872,702.7553711,492.6604004,156.7405548,184.4299927,143.7870026,0.083734684,145.2357635,168.9856873,168.6884613,152.3390808,1.333477855,1.570322037,1.041223049,0.120087497,1.508696079,1.092937469,1.329387426,1.210742235,0,0.239488045,1.890245559,2016,3128164,720409.7671,3.595088756,106.1436782,181.3238631,12.86732221,0.119289984,1.629889046,2.331514127,0.422079104,3.678283278
L1122096,1.8610871,103.8928771,Malaysia,53,4.118617058,-3.3515625,8423.091797,3.925471534,0,26.51806641,8.369846344,0.884397149,0.001248918,31.58329964,22.11940002,9.463899612,26.10174179,26.72377396,26.9949646,25.98783875,2764.999756,90.56800079,38.6570015,0.264024258,976.0078125,561.552002,590.4708252,909.2941284,143.9021606,172.0899963,107.4899979,0.131848529,120.2732315,149.9201508,158.1399994,134.2205353,1.327597737,1.734943032,1.169960976,0.115447924,1.567261815,1.219176412,1.235960603,1.515044689,0,28.58307241,6.8481317,2007,1718868.549,209504.5569,3.07092944,321.7603687,242.7340011,31.05215043,0.104368872,4.449219511,3.271902489,0.860738948,5.587041557
L3326557,5.4135221,100.7812048,Malaysia,177,6.661359787,-1.375,5705.40332,3.756286351,0,26.21172905,10.16846561,0.830628037,0.001298999,32.40000153,20.15810013,12.24190044,25.852808,26.10495758,26.73326874,25.77535057,2859.999756,94.46620178,27.18569946,0.315134197,1004.548584,444.5246887,754.5059814,731.6887817,153.485611,183.4799957,127.9199982,0.118112653,130.3373871,167.8107758,172.103302,139.450531,1.311095357,1.738162994,0.995940983,0.146126121,1.563554406,1.078070879,1.32724607,1.338778138,0,286.1988198,16.1821507,2007,1364649.08,603939.8221,3.687023361,294.0962567,349.3640238,34.29573957,0.130982835,5.183143834,3.153314574,0.848433441,5.624942367
L2522026,3.7125164,101.7332375,Malaysia,1145,11.00938892,13.125,9337.487305,3.970230024,0,22.80659294,9.808695793,0.878813028,0.001477652,28.39999962,17.23870087,11.16129971,22.5556469,23.00716591,23.33655357,22.17373466,2653.000244,77.09649658,30.60779953,0.264977455,891.7755737,436.2330933,652.3845825,704.5045166,149.3687897,179,117,0.123004854,125.9375381,149.640152,163.5852356,148.5491486,1.304482698,1.586323977,1.088458896,0.110527925,1.497162938,1.120439649,1.286757588,1.345754623,0,0.042906494,0.054084542,1922,1473535.532,415183.0122,2.067538194,140.9454545,230.7190886,20.72335862,0.102733133,3.560665959,2.895444285,0.717512479,5.006583775
L2034077,4.678866,102.057497,Malaysia,228,2.216446161,-1.3359375,20269.64648,4.306846174,0,23.86996269,9.334269524,0.844852567,0.001794751,29.4871006,18.43869972,11.04839993,23.66892624,23.6739502,24.48360443,23.08787346,2567,75.71269989,23.97229958,0.306709915,932.9940186,441.9790039,584.4102783,644.8800049,147.933075,180.3099976,114.3199997,0.135032296,122.1763077,171.9109955,164.0938416,146.710083,1.288286805,1.586591005,1.033679366,0.128274858,1.537099719,1.129103065,1.22746408,1.308972716,0,2646.036331,0.023025121,1939,1508718.238,523711.9524,5.113431242,328.4597436,322.5123942,32.56602493,0.111398586,4.283893245,3.205172724,0.843557797,5.523908063
L1530638,3.5797222,102.1638889,Malaysia,94,3.715248108,1.8671875,6001.951172,3.778292458,0,26.34372139,10.53612518,0.909329236,0.001346386,32.18669891,20.60000038,11.58670044,26.07452393,26.52091599,26.84225082,25.77799988,2255.000244,67.14260101,28.84129906,0.269292802,786.553894,397.3551025,535.4666748,642.522522,147.3678894,177.4299927,112.0800018,0.130938828,121.5068436,148.9773865,162.5691528,140.5354614,1.193255544,1.45005095,1.030288339,0.107153922,1.380735278,1.049256563,1.163609028,1.270657539,0,607.4238003,0.786110394,1923,1522097.239,400808.835,NA,NA,NA,21.80910353,0.132792214,3.733324848,3.015718478,0.735344028,4.87865108
