"station","awf_ptg","med_dist","taxon","PA_ours"
"L6001587",23.2958593415188,10,"bird",0
"L6337687",40.7891941631819,10,"bird",0
"L5639234",24.2983952594753,10,"bird",0
"L5865564",37.2777903362916,10,"bird",0
"L6357496",40.572972992272,10,"bird",0
"L6372080",40.5638844584201,10,"bird",0
"L6574700",42.8692138688337,10,"bird",0
"L7115036",24.8834152487891,10,"bird",0
"L4650249",43.1048451224659,10,"bird",0
"L7133186",43.1902946776013,10,"bird",0
"L5207993",29.894145839119,10,"bird",0
"L6056302",37.3986360315259,10,"bird",0
"L7214392",48.8922461729336,10,"bird",0
"L6545092",24.114998528227,10,"bird",0
"L6044538",45.9405288194,10,"bird",0
"L5293892",15.5988967503917,10,"bird",0
"L6061649",26.549862194034,10,"bird",0
"L6056403",38.3257737916562,10,"bird",0
"L948606",47.5583164887221,10,"bird",1
"L6321170",38.5213193365675,10,"bird",0
"L922737",36.6301793304928,10,"bird",0
"L5878876",38.0864295742899,10,"bird",0
"L6498577",42.8644029787551,10,"bird",0
"L4855403",51.8437479170393,10,"bird",0
"L7573608",44.4177453543512,10,"bird",0
"L8108259",36.5042332926236,10,"bird",0
"L6061678",28.1336420689028,10,"bird",0
"L6273406",24.7345269885463,10,"bird",0
"L7898655",34.6368102191521,10,"bird",0
"L8503394",41.22122103892,10,"bird",0
"L1203001",46.2601056502472,10,"bird",0
"L2204458",38.6957448571465,10,"bird",0
"L7993424",51.5732246416734,10,"bird",0
"L4628522",45.8673817656625,10,"bird",0
"L7334169",39.9187330335204,10,"bird",0
"L11175255",44.5060574156045,10,"bird",0
"L10299850",37.0814132607109,10,"bird",0
"L8411177",42.1204477750125,10,"bird",0
"L6441911",47.5945807703262,10,"bird",0
"L4064526",25.4435976174702,10,"bird",0
"L8276914",32.7946462894868,10,"bird",0
"L5886524",21.241284897378,10,"bird",0
"L8128508",49.2538217089499,10,"bird",0
"L4858208",39.8619591467676,10,"bird",0
"L8566340",40.5235963962218,10,"bird",0
"L4190256",45.9525789036048,10,"bird",0
"L6058752",37.9898735190804,10,"bird",0
"L10739400",49.8230286721781,10,"bird",1
"L9789618",42.6314868565459,10,"bird",0
"L9949025",34.8065415654535,10,"bird",0
"L10147361",41.4526729133806,10,"bird",0
"L10221601",23.0676879319369,10,"bird",0
"L6058902",29.6518703706888,10,"bird",0
"L8468716",49.6852598869166,10,"bird",1
"L11515427",50.2889005462394,10,"bird",0
"L10977070",35.9280783972781,10,"bird",0
"L5896554",48.4761179902114,10,"bird",1
"L11073920",38.8348339654602,10,"bird",0
"L10064897",43.0286608290103,10,"bird",0
"L15340712",41.8266927106571,10,"bird",0
"L10806751",35.2436409369611,10,"bird",0
"L6002173",47.5988450793248,10,"bird",0
"L14534762",41.9545772610735,10,"bird",0
"L11345953",25.1056555897106,10,"bird",0
"L1120413",51.1134042021854,10,"bird",0
"L12543609",35.3407344284951,10,"bird",0
"L12595655",24.6702880144234,10,"bird",0
"L6001975",38.587255657319,10,"bird",0
"L3897880",28.5632153528747,10,"bird",0
"L10030487",47.3759157523713,10,"bird",0
"L8045901",43.0662651211077,10,"bird",0
"L12510134",31.3881363535221,10,"bird",0
"L6864225",37.4743274845781,10,"bird",0
"L13083545",39.4504161489097,10,"bird",0
"L12383134",37.6369785812052,10,"bird",0
"L6001893",37.3681159569043,10,"bird",0
"L6809172",43.434861243097,10,"bird",0
"L12201310",41.7253758689798,10,"bird",0
"L927976",51.7015003493991,10,"bird",0
"L8333784",49.0334079181949,10,"bird",1
"L2818062",0,10,"bird",0
"L921174",394.537394763364,10,"bird",0
"L10183154",2230.60501875017,10,"bird",1
"L11121183",36.9893755455115,10,"bird",0
"L15263134",0,10,"bird",0
"L1882696",117.36028328288,10,"bird",0
"L1882765",124.423087328178,10,"bird",0
"L1068940",0,10,"bird",0
"L1122796",0,10,"bird",0
"L5500995",52.6165901040692,10,"bird",0
"L921175",3.81165255264592,10,"bird",0
"L4839940",3416.14575238147,10,"bird",0
"L1615360",1459.61285096815,10,"bird",0
"L921161",3958.24702518086,10,"bird",0
"L1757576",1943.85616893595,10,"bird",1
"L971576",1730.07258453483,10,"bird",1
"L971615",1746.18836342033,10,"bird",1
"L2566329",349.538874569372,10,"bird",0
"L5288036",1892.19940587695,10,"bird",0
"L921125",7916.33437706973,10,"bird",0
"L2747555",1792.0457111283,10,"bird",0
"L1438696",130.622784003183,10,"bird",0
"L1059241",1624.47033020223,10,"bird",0
"L1867033",3087.02598171517,10,"bird",0
"L921131",1869.63537640914,10,"bird",1
"L1292570",1790.07697038087,10,"bird",1
"L1439501",2230.55434418292,10,"bird",1
"L1059220",8551.16996048119,10,"bird",1
"L920770",3604.10660959957,10,"bird",1
"L1069895",8551.41745993199,10,"bird",1
"L1866891",3600.96087361952,10,"bird",1
"L1011902",1917.08902285189,10,"bird",0
"L3446850",0,10,"bird",0
"L1875452",4200.03497744592,10,"bird",1
"L1059223",3.21583353526889,10,"bird",0
"L5676683",0,10,"bird",0
"L2871038",3159.75837877725,10,"bird",0
