"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
"L4028259",81.5195188259653,10970.1219426851,81.5195188259653,10970.1219426851,10207.107688755,608486517.757442,10207.107688755,608486517.757442,100
"L2709513",75.9625144099654,10623.6228000127,75.9625144099654,10623.6228000127,9534.44930070009,584137570.856692,9534.44930070009,584137570.856692,100
"L4756790",82.7358405787939,10933.4609277241,82.7358405787939,10933.4609277241,10362.9794184612,611923571.680714,10362.9794184612,611923571.680714,100
"L1122477",83.0909241563338,10859.7476250834,83.0909241563338,10859.7476250834,10356.5792531598,608210829.800313,10356.5792531598,608210829.800313,100
"L4868301",102.101698257894,11628.1916687992,102.101698257894,11628.1916687992,11942.5990671465,580649166.644663,11942.5990671465,580649166.644663,100
"L4331944",102.939154524986,13373.4940201285,102.939154524986,13373.4940201285,12780.6122713057,638864465.60576,12780.6122713057,638864465.60576,100
"L2522061",86.7324238297883,13158.831801529,86.7324238297883,13158.831801529,12604.1443370056,679363379.7646,12604.1443370056,679363379.7646,100
"L2521920",86.7072220185189,13086.9771246528,86.7072220185189,13086.9771246528,12571.8624208846,680477197.255219,12571.8624208846,680477197.255219,100
"L4706561",86.6959213991032,13154.0313177912,86.6959213991032,13154.0313177912,12587.5810027304,678520966.37118,12587.5810027304,678520966.37118,100
"L7240453",83.0756831862445,12866.0428145356,83.0756831862445,12866.0428145356,12219.3553679533,669999474.18025,12219.3553679533,669999474.18025,100
"L1092182",94.7423893760862,13666.3356776863,112.736655519113,13414.5528808045,13119.2575003767,703179082.762688,12072.3752325184,632242363.302223,100
"L2109254",27.4940186380681,5948.65536213217,27.4940186380681,5948.65536213217,4704.62645561622,127387170.53872,4704.62645561622,127387170.53872,100
"L5203296",102.589935581859,13285.2140961762,102.589935581859,13285.2140961762,12715.5238288073,634034164.675819,12715.5238288073,634034164.675819,100
"L3450316",90.6869907138994,8035.1464622667,90.6869907138994,8035.1464622667,8299.37092612115,444506007.432123,8299.37092612115,444506007.432123,100
"L7405505",92.3306161431618,7891.95646216391,92.3306161431618,7891.95646216391,8146.09978624976,442268049.595072,8146.09978624976,442268049.595072,100
"L4659380",102.219901101557,11657.984145297,102.219901101557,11657.984145297,11969.3336500438,582655192.750482,11969.3336500438,582655192.750482,100
"L3480212",27.3748133209235,5865.06738612458,27.3748133209235,5865.06738612458,4675.50973059618,126888658.57865,4675.50973059618,126888658.57865,100
"L10199918",59.6832074727784,24637.6804714211,59.6832074727784,24637.6804714211,18219.621732336,1340982379.12166,18219.621732336,1340982379.12166,100
"L1122484",78.6012635088094,12927.2399946082,78.6012635088094,12927.2399946082,13094.4014480593,522911827.426799,13094.4014480593,522911827.426799,100
"L7866269",87.8481708741943,8680.6382588549,87.8481708741943,8680.6382588549,8741.18720244961,496613068.53277,8741.18720244961,496613068.53277,100
"L3272168",79.7415587430279,10176.6818790488,99.1526354884233,10096.4456460176,10531.0425300517,488619311.309337,8468.12220912014,372707462.790005,100
"L1315393",81.6853632220053,12914.9163989444,81.6853632220053,12914.9163989444,12219.8989156543,670029277.44424,12219.8989156543,670029277.44424,100
"L4914939",102.491819924988,13341.1893121191,103.410139424427,13498.5048795429,12660.0149251394,630633323.465968,12635.9800404997,629120174.256401,100
"L7963564",52.4510088991143,6748.54977216434,52.4510088991143,6748.54977216434,7045.01344252042,297997023.605171,7045.01344252042,297997023.605171,100
"L4706571",91.990480613048,12618.1688981259,91.990480613048,12618.1688981259,12110.9597122221,642219971.619716,12110.9597122221,642219971.619716,100
"L7955713",51.3952104584378,8444.74054097365,51.3952104584378,8444.74054097365,8174.21138761434,279304628.903394,8174.21138761434,279304628.903394,100
"L5621826",102.237818229672,11665.477650746,102.237818229672,11665.477650746,11977.5096095725,583196920.399693,11977.5096095725,583196920.399693,100
"L4730024",77.4052352459161,10837.1128222483,77.4052352459161,10837.1128222483,9708.70126503058,578124034.228776,9708.70126503058,578124034.228776,100
"L8111132",87.8225182011398,8310.75277657212,87.8225182011398,8310.75277657212,8437.42272117936,481397153.356888,8437.42272117936,481397153.356888,100
"L2309644",83.6655643914044,11738.2589952175,83.6655643914044,11738.2589952175,10930.0412523872,623733734.10873,10930.0412523872,623733734.10873,100
"L8307956",83.5680904705442,11998.7896963178,83.5680904705442,11998.7896963178,11044.3240692925,619078541.38012,11044.3240692925,619078541.38012,100
"L8278391",83.5676009348883,11999.2480370173,83.5676009348883,11999.2480370173,11044.1824424851,619037470.083732,11044.1824424851,619037470.083732,100
"L4028239",85.1943469297907,12610.5903077146,85.1943469297907,12610.5903077146,12024.6426977943,661150929.452824,12024.6426977943,661150929.452824,100
"L8379113",87.7996696136839,8303.93295240154,87.7996696136839,8303.93295240154,8429.35689330078,481130832.755822,8429.35689330078,481130832.755822,100
"L4728991",27.3219071758815,5880.85892993599,27.3219071758815,5880.85892993599,4688.86652302634,127593435.824593,4688.86652302634,127593435.824593,100
"L3136440",27.534976398677,5468.94741218996,27.534976398677,5468.94741218996,4432.92666043641,117406062.601658,4432.92666043641,117406062.601658,100
"L3519482",78.5580698610091,12959.4442174164,109.010046398996,8830.91560569623,13106.1223913388,523130875.250286,7532.80167675657,243452617.391096,100
"L8713769",87.5929197741071,8273.89028329281,87.5929197741071,8273.89028329281,8383.99347068704,478960778.993409,8383.99347068704,478960778.993409,100
"L2822705",90.2797484044264,14794.3008092126,113.867777478316,18575.7476836194,14002.9396726191,769111461.518602,12317.7711785049,648752372.429497,100
"L5502760",94.7317981342059,13900.0445239866,112.736655519113,13414.5528808045,13288.6622917428,714172577.545133,12262.3401345379,643956792.165259,100
"L9931895",17.9147341478159,16396.2670764691,17.9147341478159,16396.2670764691,10235.9291329594,529975466.788105,10235.9291329594,529975466.788105,100
"L2589348",82.0527016068387,11611.6891732051,86.4416472194057,12163.1659268446,10664.2904133274,568396014.739939,10391.2447709596,550819102.819026,100
"L961058",57.1967673117233,8874.01405336701,57.1967673117233,8874.01405336701,8806.11335952022,294564491.875951,8806.11335952022,294564491.875951,100
"L2534109",43.3320556304473,5625.41259744041,44.2695215648197,5799.67700685836,5842.19157250484,223341141.625288,5717.91113738427,217852414.334341,100
"L2900771",77.4568805426456,12815.3921736646,108.763784612913,8830.89158165245,13050.6616797816,512212369.608067,7363.56436445881,233071539.26385,100
"L2422371",86.6471453061245,13141.7951834889,86.6471453061245,13141.7951834889,12566.2547933834,677660422.242786,12566.2547933834,677660422.242786,100
"L2694556",94.0118113396248,19622.3713190549,156.504870706102,16179.2687525608,18085.9128418512,1000964846.23226,11887.9315580898,540817670.37218,100
"L1207038",91.6104818794827,12627.7459291565,94.7818672475263,13256.0475016044,12296.1398819109,643420111.600752,12163.0514740744,634753167.277523,100
"L4688937",86.700359591568,13096.8630317026,86.700359591568,13096.8630317026,12582.014836979,679944663.805182,12582.014836979,679944663.805182,100
"L7641999",84.3066627288675,11745.5961529645,84.3066627288675,11745.5961529645,10956.1827525352,633760391.320398,10956.1827525352,633760391.320398,100
"L9705725",88.1025480519066,8144.87700193366,88.1025480519066,8144.87700193366,8276.95260199899,471736636.598331,8276.95260199899,471736636.598331,100
"L3437622",86.7217840403385,13161.0687487004,86.7217840403385,13161.0687487004,12604.5637113439,679083474.512362,12604.5637113439,679083474.512362,100
"L4134495",87.7942917105036,8526.14180841196,87.7942917105036,8526.14180841196,8665.69231161678,492046675.145913,8665.69231161678,492046675.145913,100
"L4727936",25.6065066150788,13561.185259413,25.6065066150788,13561.185259413,12041.5357249695,848013111.895251,12041.5357249695,848013111.895251,100
"L4335113",87.8109273722906,8465.77481696544,87.8109273722906,8465.77481696544,8671.15577049581,485185849.982323,8671.15577049581,485185849.982323,100
"L9863254",87.6637242155574,8672.79540686505,87.6637242155574,8672.79540686505,8815.99562416786,499152856.24476,8815.99562416786,499152856.24476,100
"L4688873",86.7400386824957,13164.540523795,86.7400386824957,13164.540523795,12608.6556216112,679556103.382355,12608.6556216112,679556103.382355,100
"L3050921",88.0781434635045,8079.72651952166,88.0781434635045,8079.72651952166,8200.27490248248,467981488.409773,8200.27490248248,467981488.409773,100
"L10434040",105.791538114355,7034.01986916069,105.791538114355,7034.01986916069,7302.65569028723,401207903.62438,7302.65569028723,401207903.62438,100
"L10716254",87.446163707988,8627.55289839104,87.446163707988,8627.55289839104,8847.14570494915,496899938.518469,8847.14570494915,496899938.518469,100
"L10756349",95.3089909559266,14134.3709495806,95.3089909559266,14134.3709495806,13511.0825269068,727247528.093284,13511.0825269068,727247528.093284,100
"L6515430",94.599777346866,13832.6678167431,112.736655519113,13414.5528808045,13231.9550659223,710754466.366018,12201.6810027855,640429630.793203,100
"L11027232",76.5730535063611,10685.7474458128,76.5730535063611,10685.7474458128,9831.96671688309,541377583.331733,9831.96671688309,541377583.331733,100
"L10998686",87.5926831650585,8190.11014963632,87.5926831650585,8190.11014963632,8300.78297645225,474447852.585081,8300.78297645225,474447852.585081,100
"L3355235",87.6470722457178,8159.07507483862,87.6470722457178,8159.07507483862,8272.12026414119,472743400.975405,8272.12026414119,472743400.975405,100
"L4728728",92.9812668027976,11518.3264270307,92.9812668027976,11518.3264270307,11200.1829014029,611832391.354935,11200.1829014029,611832391.354935,100
"L11067932",84.5093995737503,11966.6323342121,84.5093995737503,11966.6323342121,11144.0618324245,636537667.806256,11144.0618324245,636537667.806256,100
"L12207982",82.8102803375972,11627.3588794529,82.8102803375972,11627.3588794529,10707.2342116526,608417169.608734,10707.2342116526,608417169.608734,100
"L10747641",82.815443967862,11626.792787656,82.815443967862,11626.792787656,10708.6436388711,608582926.640686,10708.6436388711,608582926.640686,100
"L4054475",106.367449154572,16902.3313348144,106.367449154572,16902.3313348144,16678.7883045368,905758277.666174,16678.7883045368,905758277.666174,100
"L11005461",84.3058962448319,11971.0394695108,84.3058962448319,11971.0394695108,11208.4023460525,634518865.212378,11208.4023460525,634518865.212378,100
"L11589271",86.9155246901894,8045.21116058055,86.9155246901894,8045.21116058055,8107.72744146292,465780833.784603,8107.72744146292,465780833.784603,100
